tag,mode,nocomm,comm,group,eps,goal,coll,to,fuel,head,length,minsep,colregs,colregs_n
s42,rx,2,14,nocomm,4.0000,50.0000,0.0000,50.0000,792.5341,1537.5825,805.5000,24.5175,54.2240,509.0000
s42,rx,2,14,comm,31.0000,48.3871,3.2258,48.3871,607.1736,1388.0306,647.8667,20.1103,42.3008,5007.0000
s43,rx,2,14,nocomm,3.0000,33.3333,0.0000,66.6667,862.2165,2638.1180,970.0000,20.8927,44.7332,731.0000
s43,rx,2,14,comm,26.0000,15.3846,11.5385,73.0769,828.8072,2351.6450,924.0000,17.9852,46.5081,5298.0000
s44,rx,2,14,nocomm,5.0000,40.0000,20.0000,40.0000,786.9817,1599.2525,814.5000,20.0106,42.7586,435.0000
s44,rx,2,14,comm,38.0000,50.0000,5.2632,44.7368,686.8577,1943.5248,732.7368,19.6439,42.7619,5699.0000
s45,rx,2,14,nocomm,4.0000,50.0000,0.0000,50.0000,812.7171,1743.5570,857.0000,23.0960,40.6977,430.0000
s45,rx,2,14,comm,31.0000,41.9355,0.0000,58.0645,639.0938,1550.9202,692.8462,21.2129,46.2972,3970.0000
s46,rx,2,14,nocomm,5.0000,60.0000,20.0000,20.0000,893.4901,2216.1743,951.3333,16.6772,46.8060,861.0000
s46,rx,2,14,comm,32.0000,46.8750,3.1250,50.0000,640.5246,1607.0681,698.0000,19.6702,47.1654,5186.0000
s42,rx,4,12,nocomm,10.0000,50.0000,0.0000,50.0000,725.6143,1793.5668,775.8000,21.8434,39.4184,1857.0000
s42,rx,4,12,comm,22.0000,45.4545,0.0000,54.5455,726.0108,1751.9217,776.8000,18.9862,47.2998,3759.0000
s43,rx,4,12,nocomm,8.0000,25.0000,25.0000,50.0000,643.8817,1793.7150,697.5000,18.9366,46.5155,1191.0000
s43,rx,4,12,comm,20.0000,30.0000,15.0000,55.0000,755.9640,2083.9985,838.8333,16.4447,41.8649,3700.0000
s44,rx,4,12,nocomm,9.0000,33.3333,11.1111,55.5556,476.4299,1108.8280,509.3333,21.5293,42.9734,1352.0000
s44,rx,4,12,comm,30.0000,56.6667,6.6667,36.6667,721.0293,1936.8153,756.8235,19.8922,46.3991,4610.0000
s45,rx,4,12,nocomm,10.0000,50.0000,0.0000,50.0000,750.5648,1897.4682,840.6000,23.3031,43.0048,1451.0000
s45,rx,4,12,comm,25.0000,52.0000,4.0000,44.0000,696.8138,1628.0691,752.5385,18.0841,40.3608,3548.0000
s46,rx,4,12,nocomm,11.0000,54.5455,0.0000,45.4545,748.5141,1977.5790,801.5000,17.5024,50.7817,1727.0000
s46,rx,4,12,comm,26.0000,42.3077,19.2308,38.4615,679.5095,1662.2789,724.6364,15.8075,46.7263,4139.0000
s42,rx,6,10,nocomm,16.0000,31.2500,0.0000,68.7500,672.0723,1406.5888,677.8000,18.7994,55.8189,1899.0000
