tag,mode,nocomm,group,env,vessel,outcome,steps,fuel,head,minsep,colregs_ok,colregs_n
s45,rx,4,nocomm,4,12,4,2,1.9355,13.950,54.125,0,0
s45,rx,14,nocomm,26,13,4,4,3.9654,43.096,37.355,0,0
s45,rx,12,nocomm,23,15,4,9,6.6830,45.489,40.553,0,1
s45,rx,10,comm,17,7,4,16,16.6149,33.829,60.042,0,0
s45,rx,6,comm,9,10,4,24,20.9589,35.011,30.192,5,14
s45,rx,8,nocomm,14,8,4,24,24.5024,64.627,33.543,0,0
s45,rx,12,nocomm,22,5,4,29,29.3905,62.564,60.128,0,0
s45,rx,14,nocomm,27,2,4,31,28.3289,86.303,44.336,13,18
s45,rx,2,comm,1,2,4,32,32.8369,77.749,55.084,0,0
s45,rx,12,nocomm,21,11,4,36,22.1889,83.893,32.330,9,36
s45,rx,6,nocomm,10,8,4,44,30.8592,118.829,35.197,8,34
s45,rx,6,comm,11,10,4,45,46.5067,96.646,37.699,5,5
s45,rx,8,nocomm,13,4,4,60,54.7343,149.357,47.472,6,9
s45,rx,12,comm,23,2,4,65,56.7065,149.968,51.063,7,13
s45,rx,12,comm,20,6,4,69,68.2417,189.538,26.099,1,7
s45,rx,2,nocomm,1,8,4,93,93.4951,177.964,22.515,13,13
s45,rx,6,comm,11,6,4,93,78.1635,168.280,45.875,5,27
s45,rx,4,nocomm,7,0,4,96,85.5706,274.501,34.630,8,38
s45,rx,4,comm,4,7,4,101,85.8356,266.902,22.191,22,34
s45,rx,14,nocomm,26,11,4,104,79.6948,217.830,23.088,53,91
s45,rx,14,nocomm,25,2,4,114,70.8830,203.924,17.676,38,93
s45,rx,12,nocomm,21,0,4,127,87.2089,351.723,28.783,22,84
s45,rx,6,nocomm,11,8,4,132,120.8358,290.430,25.186,18,28
s45,rx,8,comm,12,9,4,136,137.8324,199.716,49.521,0,0
s45,rx,10,nocomm,19,2,4,146,115.4757,344.706,37.181,20,74
s45,rx,2,comm,0,12,4,149,150.3495,265.685,35.492,6,8
s45,rx,12,nocomm,23,13,4,165,120.0222,303.808,20.797,34,85
s45,rx,14,nocomm,25,13,4,166,120.4047,451.907,18.950,38,104
s45,rx,4,comm,5,1,4,185,175.1637,477.083,15.238,20,40
s45,rx,2,comm,0,10,4,189,156.8668,554.915,25.898,59,121
s45,rx,10,comm,16,4,4,193,159.1722,558.608,19.115,42,82
s45,rx,14,nocomm,27,15,4,202,187.3280,454.286,20.082,21,68
s45,rx,10,nocomm,19,8,4,217,166.0827,608.909,20.159,42,109
s45,rx,8,comm,13,9,4,228,225.2638,449.720,24.564,3,4
s45,rx,2,comm,2,9,4,239,217.6053,633.845,27.610,32,59
s45,rx,8,comm,14,13,4,241,179.3247,571.660,22.358,59,114
s45,rx,6,nocomm,10,3,4,245,175.9808,673.325,32.977,71,149
s45,rx,12,nocomm,23,3,4,245,175.5089,693.311,21.256,81,154
s45,rx,4,comm,7,6,4,259,248.1979,557.769,17.959,26,59
s45,rx,6,nocomm,9,13,4,262,229.0225,602.496,19.247,18,85
s45,rx,12,comm,20,14,4,275,203.2702,731.206,12.172,93,204
s45,rx,8,comm,13,7,4,278,233.4088,679.070,19.345,53,105
