fig,arm,seed,tag,prefix,goal,vColl,oColl,prox,n_fin,n_open,TO,C_v2,C_v11,sit1,sit2,sit3,sit4,fuel,headTravel,minSep,allMinSep,len
fig1,OFF,42,qf_SE_OFF_s42,qf_SE_OFF,92.6,6.5,0.9,2.6087118391660464,539.0,804.0,0.0,98.0,56.8,99.6,94.5,100.0,100.0,853.8,2007.0,20.3,19.5,881.0
fig1,OFF,43,qf_SE_OFF_s43,qf_SE_OFF,89.9,7.8,2.3,3.2423076923076923,562.0,790.0,0.0,98.0,55.4,100.0,94.4,99.5,97.6,827.0,1778.0,20.0,19.1,840.0
fig1,OFF,44,qf_SE_OFF_s44,qf_SE_OFF,95.5,4.5,0.0,1.7966165413533834,531.0,799.0,0.0,98.2,54.4,99.7,94.5,100.0,100.0,805.7,1755.0,21.4,20.8,831.0
fig2,SINGLE,42,q_MOE_SINGLE_s42,q_MOE_SINGLE,95.0,5.0,0.0,1.9702743902439024,517.0,795.0,0.0,95.8,49.4,100.0,91.4,97.8,95.7,808.4,1511.0,22.5,21.9,837.0
fig2,SINGLE,43,q_MOE_SINGLE_s43,q_MOE_SINGLE,94.4,5.6,0.0,2.258470764617691,538.0,796.0,0.0,96.7,51.8,100.0,91.1,99.8,95.0,837.9,1842.0,22.6,21.8,877.0
fig2,SINGLE,44,q_MOE_SINGLE_s44,q_MOE_SINGLE,97.4,2.6,0.0,0.9992313604919294,500.0,801.0,0.0,97.6,56.1,100.0,92.2,99.7,100.0,836.3,1889.0,22.8,22.5,863.0
fig2,THICK,42,base_comm_s42,base_comm,91.5,6.2,2.2,2.3801857585139317,496.0,796.0,0.0,96.9,55.0,100.0,91.2,100.0,100.0,850.8,2072.0,20.5,19.8,846.0
fig2,THICK,43,base_comm_s43,base_comm,93.1,5.9,1.0,2.299464012251149,509.0,797.0,0.0,98.4,56.0,99.6,95.5,100.0,100.0,899.9,2464.0,22.4,21.5,897.0
fig2,THICK,44,base_comm_s44,base_comm,92.4,7.2,0.4,2.831522570772762,514.0,793.0,0.0,97.9,57.2,100.0,93.6,100.0,100.0,852.9,2080.0,19.5,18.8,872.0
fig2,THIN,42,q_MOE_ISO_s42,q_MOE_ISO,87.2,12.0,0.8,4.694465504169825,516.0,803.0,0.0,98.0,49.8,100.0,96.6,100.0,93.9,859.6,2173.0,20.7,19.3,902.0
fig2,THIN,43,q_MOE_ISO_s43,q_MOE_ISO,87.4,10.9,1.8,4.2524286815728605,506.0,791.0,0.0,98.1,46.3,99.2,95.3,100.0,100.0,830.6,1819.0,18.4,17.6,863.0
fig2,THIN,44,q_MOE_ISO_s44,q_MOE_ISO,87.5,11.7,0.8,4.61180981595092,514.0,790.0,0.0,97.8,50.1,99.3,95.1,100.0,95.3,839.4,1773.0,20.7,19.3,875.0
fig3,NEAR1,42,qf_SE_NEAR1_s42,qf_SE_NEAR1,92.7,7.3,0.0,2.815552099533437,496.0,790.0,0.0,97.0,51.9,99.3,93.7,99.8,94.6,845.2,2062.0,19.3,18.4,880.0
fig3,NEAR1,43,qf_SE_NEAR1_s43,qf_SE_NEAR1,95.4,4.6,0.0,1.7062208398133747,477.0,809.0,0.0,97.8,53.6,100.0,93.5,99.7,97.4,834.2,1912.0,20.8,20.3,853.0
fig3,NEAR1,44,qf_SE_NEAR1_s44,qf_SE_NEAR1,95.7,3.4,0.9,1.261855670103093,468.0,793.0,0.0,98.8,57.4,100.0,96.2,100.0,100.0,867.3,2377.0,19.2,18.9,877.0
fig4,DIM10,42,q_DIM10_s42,q_DIM10,95.6,4.4,0.0,1.7124324324324325,504.0,791.0,0.0,97.1,49.2,99.4,92.9,100.0,97.1,852.8,1881.0,19.9,19.4,871.0
fig4,DIM10,43,q_DIM10_s43,q_DIM10,92.5,7.0,0.4,2.5434262948207174,456.0,799.0,0.0,97.3,49.0,99.5,93.7,99.5,96.5,810.4,1630.0,21.1,20.4,837.0
fig4,DIM10,44,q_DIM10_s44,q_DIM10,94.4,5.0,0.6,1.8285939968404423,463.0,803.0,0.0,97.5,52.5,100.0,92.8,100.0,100.0,836.9,1893.0,19.9,19.4,854.0
fig4,DIM12,42,q_DIM12_s42,q_DIM12,94.4,5.4,0.2,2.107218045112782,519.0,811.0,0.0,98.1,52.2,100.0,94.9,100.0,96.4,849.3,1905.0,18.9,18.4,863.0
fig4,DIM12,43,q_DIM12_s43,q_DIM12,92.1,7.8,0.2,3.03987915407855,516.0,808.0,0.0,98.7,53.7,100.0,96.4,100.0,100.0,846.8,1935.0,19.6,18.7,883.0
fig4,DIM12,44,q_DIM12_s44,q_DIM12,91.5,8.5,0.0,3.412546125461255,544.0,811.0,0.0,98.2,42.9,99.2,95.9,100.0,98.4,846.3,1995.0,19.8,18.9,872.0
fig4,DIM8,42,q_DIM8_s42,q_DIM8,94.2,5.8,0.0,2.2678353658536583,513.0,799.0,0.0,97.4,51.4,100.0,92.3,100.0,100.0,849.5,2053.0,19.1,18.6,885.0
fig4,DIM8,43,q_DIM8_s43,q_DIM8,95.6,3.9,0.6,1.5652077151335313,541.0,807.0,0.0,97.0,52.9,99.5,93.0,99.0,100.0,835.8,1713.0,20.8,20.4,866.0
fig4,DIM8,44,q_DIM8_s44,q_DIM8,92.4,7.2,0.4,2.7556913674560737,501.0,808.0,0.0,97.6,42.9,99.2,96.1,99.1,93.9,800.3,1599.0,20.6,19.8,856.0
fig5,COLREGSOFF,42,qo_SE_COLREGSOFF_s42,qo_SE_COLREGSOFF,95.9,4.1,0.0,1.5350081037277146,462.0,772.0,0.0,61.3,34.3,74.0,54.8,58.8,92.8,798.5,1583.0,26.6,25.9,803.0
fig5,COLREGSOFF,43,qo_SE_COLREGSOFF_s43,qo_SE_COLREGSOFF,96.1,3.9,0.0,1.5075889328063241,489.0,776.0,0.0,68.8,37.0,89.0,58.1,69.3,89.5,779.7,1483.0,23.6,23.0,781.0
fig5,COLREGSOFF,44,qo_SE_COLREGSOFF_s44,qo_SE_COLREGSOFF,94.7,5.3,0.0,2.0529644268774705,490.0,775.0,0.0,67.4,39.3,85.6,55.7,71.0,89.8,789.3,1551.0,24.8,23.9,802.0
fig6,EARLY,42,ql_SE_START_s42,ql_SE_START,91.7,8.3,0.0,3.24375,519.0,809.0,0.0,97.6,49.6,100.0,94.3,100.0,98.0,872.8,2260.0,20.0,19.0,915.0
fig6,EARLY,43,ql_SE_START_s43,ql_SE_START,94.5,4.1,1.4,1.5771623672230652,507.0,811.0,0.0,97.9,54.3,99.5,95.2,99.7,96.7,858.5,2087.0,18.5,18.1,897.0
fig6,EARLY,44,ql_SE_START_s44,ql_SE_START,93.1,6.7,0.2,2.615241635687733,525.0,820.0,0.0,97.8,46.5,99.4,95.6,100.0,93.8,850.4,2148.0,19.5,18.8,907.0
hub,shared_ON,42,qd_MOE_SE_s42,qd_MOE_SE,96.7,2.2,1.0,0.8402182385035074,490.0,793.0,0.0,98.3,55.2,100.0,95.7,99.0,98.0,846.8,2066.0,20.4,20.1,869.0
hub,shared_ON,43,qd_MOE_SE_s43,qd_MOE_SE,95.6,4.2,0.2,1.6634294385432475,522.0,796.0,0.0,98.8,58.2,100.0,95.7,100.0,100.0,835.1,1741.0,22.1,21.6,845.0
hub,shared_ON,44,qd_MOE_SE_s44,qd_MOE_SE,94.9,5.1,0.0,1.9109785202863958,471.0,786.0,0.0,97.8,46.8,100.0,95.6,98.9,98.6,817.0,1963.0,20.3,19.7,838.0
