tag,mode,nocomm,group,eps,goal,coll,to,fuel,head,length,minsep,colregs,colregs_n,sit1,sit2,sit3,sit4
s42,rx,2,nocomm,25.0000,80.0000,20.0000,0.0000,851.3887,1839.4925,870.0000,17.7485,53.9482,32787.0000,87.3905,42.5488,87.6781,82.4007
s42,rx,2,comm,134.0000,91.0448,8.9552,0.0000,872.6576,1962.3240,900.6148,19.5945,54.2912,221034.0000,87.7306,42.7381,87.7751,82.7930
s42,rx,4,nocomm,40.0000,92.5000,7.5000,0.0000,854.2527,2010.7081,881.5676,18.9650,54.8379,64873.0000,87.1429,43.0134,87.5683,80.7286
s42,rx,4,comm,127.0000,84.2520,15.7480,0.0000,817.5181,1852.6848,846.9626,18.2769,54.4111,180215.0000,87.1309,42.8880,87.6909,83.7455
s42,rx,6,nocomm,70.0000,82.8571,17.1429,0.0000,878.6561,1924.5387,904.3621,18.6173,54.5342,97823.0000,87.9924,42.6001,87.2572,82.2381
s42,rx,6,comm,68.0000,89.7059,10.2941,0.0000,959.5608,2374.8843,1004.2459,19.4675,54.0430,158903.0000,84.6557,42.7088,87.4192,80.8472
s42,rx,8,nocomm,76.0000,89.4737,10.5263,0.0000,882.3643,2087.4108,915.5147,18.5293,54.7504,128768.0000,87.0471,42.5711,87.6681,84.0412
s42,rx,8,comm,72.0000,83.3333,16.6667,0.0000,854.4876,1936.8040,885.7667,18.1991,54.7915,127956.0000,86.9523,42.6498,87.2012,83.8759
s42,rx,10,nocomm,119.0000,89.9160,10.0840,0.0000,862.8623,1951.0272,894.6542,18.8755,54.1273,151805.0000,87.3700,42.7470,87.5976,82.1162
s42,rx,10,comm,56.0000,85.7143,14.2857,0.0000,870.2269,1996.2827,896.5417,20.5436,54.4870,96423.0000,87.5800,42.7773,87.8708,82.5706
s42,rx,12,nocomm,141.0000,89.3617,10.6383,0.0000,906.6036,2177.2840,945.5238,19.5521,54.1940,188292.0000,88.1432,42.7460,87.3360,80.7610
s42,rx,12,comm,42.0000,71.4286,28.5714,0.0000,917.0535,2105.0077,950.2333,17.0957,54.7282,64338.0000,86.7752,42.4217,87.6846,82.3580
s42,rx,14,nocomm,108.0000,79.6296,20.3704,0.0000,959.2828,2286.4531,997.2558,18.5674,54.3184,219204.0000,86.7453,42.6500,87.4947,82.1212
s42,rx,14,comm,14.0000,78.5714,21.4286,0.0000,922.0315,2268.3113,962.6364,16.1129,53.3701,31765.0000,87.7193,42.3803,86.9108,83.6010
s43,rx,2,nocomm,25.0000,92.0000,8.0000,0.0000,987.1850,2373.8798,998.8261,21.3618,44.4687,29731.0000,89.6774,25.9919,93.3608,93.8882
s43,rx,2,comm,120.0000,86.6667,13.3333,0.0000,932.9835,2413.8135,945.1538,21.3892,45.0662,217076.0000,88.6063,26.2697,93.3393,93.8450
s43,rx,4,nocomm,49.0000,85.7143,14.2857,0.0000,778.0276,1925.3248,790.4286,20.3441,45.6271,61321.0000,90.4594,26.4959,93.2872,94.9217
s43,rx,4,comm,115.0000,90.4348,9.5652,0.0000,867.8244,2028.5387,881.3558,20.9240,44.4567,177168.0000,89.9594,26.1311,93.2545,94.1919
s43,rx,6,nocomm,51.0000,90.1961,9.8039,0.0000,815.5272,1893.6716,821.0870,21.5941,45.2610,93354.0000,89.6057,26.3613,93.1932,92.7663
s43,rx,6,comm,100.0000,88.0000,12.0000,0.0000,922.6206,2224.8698,935.8295,19.5557,44.9618,145746.0000,91.1665,26.3206,93.4885,93.6214
s43,rx,8,nocomm,68.0000,94.1176,5.8824,0.0000,934.0898,2223.7796,940.0312,20.5549,44.5997,119133.0000,90.5551,26.0336,93.6126,93.0633
s43,rx,8,comm,95.0000,93.6842,6.3158,0.0000,885.5941,2254.9596,903.9213,20.9556,45.4170,114684.0000,90.6740,26.3155,93.4160,94.3524
s43,rx,10,nocomm,119.0000,93.2773,6.7227,0.0000,893.5322,2219.3584,905.9459,20.5029,45.2463,146432.0000,88.5099,26.2240,93.1627,93.6240
s43,rx,10,comm,58.0000,87.9310,12.0690,0.0000,924.9867,2344.1565,934.2549,19.7588,44.6670,86612.0000,92.3664,26.3806,93.4483,93.6855
s43,rx,12,nocomm,113.0000,94.6903,5.3097,0.0000,923.1336,2275.9406,938.3738,21.0016,44.4828,176666.0000,90.4593,26.3396,93.2181,93.7765
s43,rx,12,comm,39.0000,89.7436,10.2564,0.0000,995.3091,2417.4828,1004.4000,21.5563,45.2102,59564.0000,91.1404,26.7176,92.8717,93.2082
s43,rx,14,nocomm,128.0000,95.3125,4.6875,0.0000,901.3972,2311.1250,918.5410,21.3488,44.4933,212360.0000,90.0401,26.4793,93.3385,93.6173
s43,rx,14,comm,18.0000,94.4444,5.5556,0.0000,869.9508,2147.9359,894.4706,21.9853,46.0677,28393.0000,91.5909,26.5847,93.2942,93.8462
s44,rx,2,nocomm,27.0000,96.2963,3.7037,0.0000,855.8104,1898.4749,867.3077,19.3203,53.3351,26266.0000,100.0000,36.0032,89.6589,80.4911
s44,rx,2,comm,144.0000,88.1944,11.8056,0.0000,887.1423,2161.3870,904.9764,20.1775,52.5223,176407.0000,100.0000,35.7648,89.5357,81.0775
s44,rx,4,nocomm,33.0000,87.8788,12.1212,0.0000,901.8701,2264.0199,909.1379,18.7142,52.5711,46906.0000,100.0000,35.5207,89.5990,79.6816
s44,rx,4,comm,110.0000,93.6364,6.3636,0.0000,817.1311,1921.0934,832.5146,20.9601,52.1947,151048.0000,100.0000,35.5998,89.3197,81.3658
s44,rx,6,nocomm,51.0000,88.2353,11.7647,0.0000,728.1456,1604.4453,743.4889,20.4515,52.6464,71589.0000,100.0000,35.4168,88.9676,81.7909
s44,rx,6,comm,93.0000,87.0968,12.9032,0.0000,909.3728,2074.5006,920.0864,20.2125,52.2558,126939.0000,100.0000,35.5175,89.2254,81.1829
s44,rx,8,nocomm,77.0000,92.2078,7.7922,0.0000,835.2385,1813.5838,841.7465,21.6851,52.4186,95779.0000,100.0000,35.6517,89.6575,81.4793
s44,rx,8,comm,61.0000,96.7213,3.2787,0.0000,809.6044,1795.9763,817.8136,20.5425,53.1322,103233.0000,99.9579,35.9103,89.6481,82.3263
s44,rx,10,nocomm,70.0000,91.4286,8.5714,0.0000,834.7937,1938.6203,846.5469,21.0052,52.8844,124946.0000,99.9667,35.2631,89.7192,81.8605
s44,rx,10,comm,54.0000,94.4444,5.5556,0.0000,773.1306,1677.3648,782.6275,22.6963,52.0488,73654.0000,99.9400,35.7802,89.0320,81.2336
s44,rx,12,nocomm,144.0000,91.6667,8.3333,0.0000,881.0961,2086.0594,896.7879,20.0063,51.9772,153198.0000,100.0000,35.4119,89.3553,79.2497
s44,rx,12,comm,56.0000,92.8571,7.1429,0.0000,786.6510,1862.4877,798.3654,21.2210,53.2567,50865.0000,100.0000,35.3318,89.1525,79.8744
s44,rx,14,nocomm,130.0000,90.0000,10.0000,0.0000,834.4496,1982.5613,850.6154,20.1739,52.6404,168099.0000,100.0000,35.4795,89.3094,81.0249
s44,rx,14,comm,17.0000,94.1176,5.8824,0.0000,850.9697,1962.7110,856.1875,19.9833,52.2718,25750.0000,100.0000,36.2360,88.5705,82.1053
